ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
101929005,NA,NA,NA,-3.697739267,-2.837658395,-8.358744442,0.000459558,0.00506763,0.719032198
9310,ENSG00000159917,ZNF235,zinc finger protein 235,-1.010664611,1.10995525,-8.318735681,0.000460368,0.005071356,0.505993245
57035,ENSG00000117616,RSRP1,arginine and serine rich protein 1,-2.029327585,4.481828285,-8.355460736,0.000460387,0.005071356,-0.100471204
4860,ENSG00000198805,PNP,purine nucleoside phosphorylase,0.795793617,5.36345417,8.355286435,0.000460432,0.005071356,-0.243081801
6464,ENSG00000160691,SHC1,SHC adaptor protein 1,0.823383367,8.101228114,8.352893766,0.000461037,0.005076058,-0.368079566
23411,ENSG00000096717,SIRT1,sirtuin 1,-0.7451873,4.654277829,-8.348879466,0.000462056,0.005084196,-0.1717179
78999,ENSG00000173621,LRFN4,leucine rich repeat and fibronectin type III domain containing 4,1.351313769,5.421807706,8.348568431,0.000462135,0.005084196,-0.244084898
54623,ENSG00000006712,PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component",0.775711044,5.910543515,8.347148441,0.000462495,0.005086061,-0.291962965
27153,ENSG00000196453,ZNF777,zinc finger protein 777,0.50097231,4.660149545,8.346492618,0.000462662,0.005086061,-0.177890994
349075,ENSG00000178665,ZNF713,zinc finger protein 713,-1.562361874,3.988192768,-8.343962082,0.000463307,0.005091172,-0.049942022
26276,ENSG00000184056,VPS33B,VPS33B late endosome and lysosome associated,0.538139862,4.456172309,8.339873873,0.00046435,0.005100661,-0.15524177
140545,ENSG00000105982,RNF32,ring finger protein 32,-0.845810227,2.973194404,-8.33874703,0.000464638,0.005101851,0.113525293
84886,ENSG00000119280,C1orf198,chromosome 1 open reading frame 198,0.666598604,6.116102263,8.336712394,0.000465158,0.005105593,-0.312870133
63894,ENSG00000151445,VIPAS39,"VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog",0.306439089,5.580905865,8.049829891,0.000465905,0.005111814,-0.337699061
222235,ENSG00000161040,FBXL13,F-box and leucine rich repeat protein 13,-0.614096937,5.756780895,-8.331046458,0.000466612,0.005117589,-0.292366747
54934,ENSG00000139620,KANSL2,KAT8 regulatory NSL complex subunit 2,-0.413065618,4.382930253,-8.20052353,0.000467066,0.005120594,-0.179202152
9965,ENSG00000162344,FGF19,fibroblast growth factor 19,-1.803900677,2.171179918,-8.327187575,0.000467605,0.005122986,0.317596575
